unique_id,include95,include90,include85,include80,include75,include70,include65,include60
ds001894_sub-0056,6,6,6,6,6,6,6,6
ds001894_sub-0057,3,6,6,6,6,6,6,6
ds001894_sub-0058,3,4,6,6,6,6,6,6
ds001894_sub-0059,2,3,4,5,5,6,6,6
ds001894_sub-0060,6,6,6,6,6,6,6,6
ds001894_sub-0061,3,5,6,6,6,6,6,6
ds001894_sub-0062,6,6,6,6,6,6,6,6
ds001894_sub-0063,6,6,6,6,6,6,6,6
ds001894_sub-0066,4,6,6,6,6,6,6,6
ds001894_sub-0067,6,6,6,6,6,6,6,6
ds001894_sub-0068,6,6,6,6,6,6,6,6
ds001894_sub-0070,3,4,5,6,6,6,6,6
ds001894_sub-0071,5,6,6,6,6,6,6,6
ds001894_sub-0074,6,6,6,6,6,6,6,6
ds001894_sub-0075,6,6,6,6,6,6,6,6
ds001894_sub-0076,5,5,6,6,6,6,6,6
ds001894_sub-0077,2,6,6,6,6,6,6,6
ds001894_sub-0081,6,6,6,6,6,6,6,6
ds001894_sub-0082,5,5,6,6,6,6,6,6
ds001894_sub-0084,6,6,6,6,6,6,6,6
ds001894_sub-0085,6,6,6,6,6,6,6,6
ds001894_sub-0086,6,6,6,6,6,6,6,6
ds001894_sub-0087,3,4,5,5,6,6,6,6
ds001894_sub-0089,6,6,6,6,6,6,6,6
ds001894_sub-0090,6,6,6,6,6,6,6,6
ds001894_sub-0091,6,6,6,6,6,6,6,6
ds001894_sub-0093,3,6,6,6,6,6,6,6
ds001894_sub-0094,4,5,6,6,6,6,6,6
ds001894_sub-0096,2,3,5,5,6,6,6,6
ds001894_sub-0098,4,4,5,5,6,6,6,6
ds001894_sub-0100,4,4,5,5,5,5,5,5
ds001894_sub-0101,6,6,6,6,6,6,6,6
ds001894_sub-0102,6,6,6,6,6,6,6,6
ds001894_sub-0104,3,3,4,4,4,4,4,5
ds001894_sub-0108,3,4,5,6,6,6,6,6
ds001894_sub-0110,5,5,6,6,6,6,6,6
ds001894_sub-0111,6,6,6,6,6,6,6,6
ds001894_sub-0112,5,6,6,6,6,6,6,6
ds001894_sub-0115,4,6,6,6,6,6,6,6
ds001894_sub-0116,5,5,5,6,6,6,6,6
ds001894_sub-0117,4,6,6,6,6,6,6,6
ds001894_sub-0119,5,6,6,6,6,6,6,6
ds001894_sub-0120,4,6,6,6,6,6,6,6
ds001894_sub-0123,6,6,6,6,6,6,6,6
ds001894_sub-0125,3,3,4,4,5,5,6,6
ds001894_sub-0127,6,6,6,6,6,6,6,6
ds001894_sub-0128,4,6,6,6,6,6,6,6
ds001894_sub-0131,5,6,6,6,6,6,6,6
ds001894_sub-0132,6,6,6,6,6,6,6,6
ds001894_sub-0133,3,6,6,6,6,6,6,6
ds001894_sub-0134,6,6,6,6,6,6,6,6
ds001894_sub-0135,6,6,6,6,6,6,6,6
ds001894_sub-0136,4,6,6,6,6,6,6,6
ds001894_sub-0138,3,4,5,5,5,6,6,6
ds001894_sub-0139,6,6,6,6,6,6,6,6
ds001894_sub-0140,6,6,6,6,6,6,6,6
ds001894_sub-0141,6,6,6,6,6,6,6,6
ds001894_sub-0143,6,6,6,6,6,6,6,6
ds001894_sub-0144,6,6,6,6,6,6,6,6
