unique_id,dataset,participant_id,sex,handedness,age,rs,pa,fi,rs_fi,rs_age,fi_age,rs_fi_age,pa_fi,pa_age,pa_fi_age,mean_acc_O+P+,mean_acc_O+P-,mean_acc_O-P+,mean_acc_O-P-,nci_acc,response_bias,exclude,preC_IFG,preC_TP,preC_vOT,postC_IFG,postC_TP,postC_vOT
ds001486_sub-0015,ds001486,sub-015,Male,right,11.98,105,5,110,11550,1257.9,1317.8,138369,550,59.900000000000006,6589,0.833,0.8,0.9,0.786,0.808,0.04699999999999993,NA,4.141350500583648,3.82054943561554,4.06974447965622,3.7193664453920023,3.288555915269683,3.586449278700216
ds001486_sub-0016,ds001486,sub-016,Female,right,12.82,112,12,98,10976,1435.8400000000001,1256.3600000000001,140712.32,1176,153.84,15076.32,1,0.9,1,1,1,0,NA,3.0406312632560732,3.4237753462791445,2.7651457118988034,2.8298996351304573,2.9974556870846665,2.5376172048451826
ds001486_sub-0017,ds001486,sub-017,Female,right,9.45,117,11,121,14157,1105.6499999999999,1143.4499999999998,133783.65,1331,103.94999999999999,12577.949999999999,0.909,1,0.8,0.929,0.92,0.02000000000000001,NA,4.0157860445976254,3.6170394277572626,4.5764248967170715,3.7740858203580867,3.1413759448525567,3.918570789912341
ds001486_sub-0018,ds001486,sub-018,Female,right,12.18,117,10,101,11817,1425.06,1230.18,143931.06,1010,121.8,12301.8,1,1,1,1,1,0,NA,3.216008713245392,1.8446416246891015,7.287675752639769,2.972218729302085,1.6551535448947243,6.463023604443444
ds001486_sub-0019,ds001486,sub-019,Male,right,11.3,123,14,122,15006,1389.9,1378.6000000000001,169567.80000000002,1708,158.20000000000002,19300.4,1,0.8,0.9,1,1,0,NA,3.2071766233444214,2.754099476337433,4.12002511024475,2.904453845363413,2.4892316909805206,3.71240265305579
ds001486_sub-0021,ds001486,sub-021,Female,right,10.08,125,13,109,13625,1260,1098.72,137340,1417,131.04,14283.36,1,0.556,0.889,0.667,0.826,0.33299999999999996,NA,3.985032510757446,2.911589946746826,2.8628790521621705,3.56385362602696,2.5732130853124517,2.6449637002700204
ds001486_sub-0022,ds001486,sub-022,Male,right,12.59,97,12,122,11834,1221.23,1535.98,148990.06,1464,151.07999999999998,18431.76,1,0.4,0.9,0.714,0.846,0.28600000000000003,NA,6.331204905509948,3.0978170108795164,6.8486644506454475,5.680178392744387,2.6870198823539444,6.355766068526152
ds001486_sub-0023,ds001486,sub-023,Male,right,11.38,114,11,101,11514,1297.3200000000002,1149.38,131029.32,1111,125.18,12643.18,0.917,0.6,0.9,0.929,0.923,0.01200000000000001,NA,3.04251702785492,1.740123127698898,2.0232679295539855,2.795226936242849,1.5779452903031583,1.9426948848986134
ds001486_sub-0024,ds001486,sub-024,Female,right,9.96,113,12,116,13108,1125.48,1155.3600000000001,130555.68000000001,1392,119.52000000000001,13864.320000000002,1,0.778,1,0.929,0.962,0.07099999999999995,NA,3.1062125706672665,1.9382538366317752,6.839995164871214,2.8420412883941806,1.7525615969080115,6.197129478350471
ds001486_sub-0025,ds001486,sub-025,Male,right,11.99,112,12,119,13328,1342.88,1426.81,159802.72,1428,143.88,17121.72,1,0.9,1,1,1,0,NA,6.373147625923157,2.023822090625763,3.849180557727814,5.75409980030503,1.7894872816707128,3.6595642318224244
