subject_id,run_name,repaired_num,repaired_perc,chunks_num,FD_mean,FD_num_03,FD_perc_03
sub-61,sub-61_task-VisRhyme_run-01_bold,0,0,0,0.1640465403045,23,0.0958333333333333
sub-61,sub-61_task-VisRhyme_run-02_bold,0,0,0,0.193476246330583,33,0.1375
sub-62,sub-62_task-VisRhyme_run-01_bold,0,0,0,0.333382632289417,101,0.420833333333333
sub-62,sub-62_task-VisRhyme_run-02_bold,5,0.0208333333333333,0,0.506707724110583,147,0.6125
sub-63,sub-63_task-VisRhyme_run-01_bold,19,0.0791666666666667,0,0.499658428771625,83,0.345833333333333
sub-63,sub-63_task-VisRhyme_run-02_bold,12,0.05,0,0.379744066143333,64,0.266666666666667
sub-64,sub-64_task-VisRhyme_run-01_bold,0,0,0,0.123816917470083,9,0.0375
sub-64,sub-64_task-VisRhyme_run-02_bold,0,0,0,0.125908182403,13,0.0541666666666667
sub-65,sub-65_task-VisRhyme_run-01_bold,0,0,0,0.188939128785417,24,0.1
sub-65,sub-65_task-VisRhyme_run-02_bold,0,0,0,0.19086526255575,35,0.145833333333333
sub-66,sub-66_task-VisRhyme_run-01_bold,0,0,0,0.177320650538083,22,0.0916666666666667
sub-66,sub-66_task-VisRhyme_run-02_bold,0,0,0,0.0922572878977083,2,0.00833333333333333
sub-68,sub-68_task-VisRhyme_run-01_bold,0,0,0,0.123985075969333,3,0.0125
sub-68,sub-68_task-VisRhyme_run-02_bold,0,0,0,0.132751905640958,11,0.0458333333333333
sub-69,sub-69_task-VisRhyme_run-01_bold,6,0.025,0,0.226183996772371,29,0.120833333333333
sub-69,sub-69_task-VisRhyme_run-02_bold,3,0.0125,0,0.10974778826925,10,0.0416666666666667
sub-71,sub-71_task-VisRhyme_run-01_bold,0,0,0,0.274151525570428,71,0.295833333333333
sub-71,sub-71_task-VisRhyme_run-02_bold,0,0,0,0.255377186973583,67,0.279166666666667
sub-73,sub-73_task-VisRhyme_run-01_bold,17,0.0708333333333333,0,0.604121703878333,131,0.545833333333333
sub-73,sub-73_task-VisRhyme_run-02_bold,9,0.0375,0,0.491859070068417,127,0.529166666666667
sub-74,sub-74_task-VisRhyme_run-01_bold,0,0,0,0.180412848997125,33,0.1375
sub-74,sub-74_task-VisRhyme_run-02_bold,0,0,0,0.194614752141042,33,0.1375
sub-75,sub-75_task-VisRhyme_run-01_bold,0,0,0,0.233311257411583,60,0.25
sub-75,sub-75_task-VisRhyme_run-02_bold,5,0.0208333333333333,0,0.267034419209,55,0.229166666666667
